source: en: Keeping the Secret of Genetic Testing second: Giữ bí mật của xét nghiệm di truyền	en: Keeping the Secret of Genetic Testing
source: en: What is genetic risk ? second: Rủi ro di truyền là gì?	en: What is genetic risk ?
source: en: Genetic risk refers more to your chance of inheriting a disorder or disease . second: Rủi ro di truyền liên quan nhiều hơn đến khả năng bạn sẽ thừa hưởng một chứng rối loạn hoặc bệnh tật nào đó.	en: Genetic risk refers more to your chance of inheriting a disorder or disease .
source: en: People get certain disease because of genetic changes . second: Con người mắc phải một số bệnh nhất định do sự biến đổi gen.	en: People get certain disease because of genetic changes .
source: en: How much a genetic change tells us about your chance of developing a disorder is not always clear . second: Sự thay đổi gen cho chúng ta biết bao nhiêu về khả năng phát triển chứng rối loạn của bạn không phải lúc nào cũng rõ ràng.	en: How much a genetic change tells us about your chance of developing a disorder is not always clear .
source: en: If your genetic results indicate that you have gene changes associated with an increased risk of heart disease , it does not mean that you definitely will develop heart disease . second: Nếu kết quả xét nghiệm di truyền cho thấy bạn có sự thay đổi trong gen liên quan đến tăng nguy cơ mắc bệnh tim, điều đó không có nghĩa là bạn chắc chắn sẽ mắc bệnh tim.	en: If your genetic results indicate that you have gene changes associated with an increased risk of heart disease , it does not mean that you definitely will develop heart disease .
source: en: The opposite is also true . second: Điều ngược lại cũng đúng.	en: The opposite is also true .
source: en: If your genetic results show that you do not have changes associated with an increased risk of heart disease , it is still possible that you develop heart disease . second: Nếu kết quả di truyền cho thấy bạn không có thay đổi nào liên quan đến tăng nguy cơ mắc bệnh tim, bạn vẫn có khả năng mắc bệnh tim.	en: If your genetic results show that you do not have changes associated with an increased risk of heart disease , it is still possible that you develop heart disease .
source: en: However for some rare diseases , people who have certain gene changes are guaranteed to develop the disease . second: Tuy nhiên, đối với một số bệnh hiếm gặp, những người có sự thay đổi nhất định trong gen chắc chắn sẽ mắc bệnh.	en: However for some rare diseases , people who have certain gene changes are guaranteed to develop the disease .
source: en: When we are diagonosed out with certain genetic disease , are we suppose to disclose this result to our relatives ? second: Khi chúng ta bị phân biệt với một số bệnh di truyền, chúng ta có nên tiết lộ kết quả này cho người thân của mình không?	en: When we are diagonosed out with certain genetic disease , are we suppose to disclose this result to our relatives ?
source: en: My answer is no . second: Câu trả lời của tôi là không.	en: My answer is no .
source: en: On one hand , we do not want this potential danger causing firghtenning affects in our families ' later lives . second: Một mặt, chúng ta không muốn nguy cơ tiềm ẩn này gây ra sự tàn phá cho cuộc sống sau này của gia đình chúng ta.	en: On one hand , we do not want this potential danger causing firghtenning affects in our families ' later lives .
source: en: When people around us know that we got certain disease , their altitudes will be easily changed , whether caring us too much or keeping away from us . second: Khi những người xung quanh biết chúng ta mắc một căn bệnh nào đó, độ cao của họ sẽ dễ dàng thay đổi, cho dù họ quan tâm đến chúng ta quá nhiều hay tránh xa chúng ta.	en: When people around us know that we got certain disease , their altitudes will be easily changed , whether caring us too much or keeping away from us .
source: en: And both are not what we want since most of us just want to live as normal people . second: Và cả hai đều không phải là điều chúng ta muốn vì hầu hết chúng ta chỉ muốn sống như những người bình thường.	en: And both are not what we want since most of us just want to live as normal people .
source: en: Surrounded by such concerns , it is very likely that we are distracted to worry about these problems . second: Vây quanh bởi những mối lo như vậy, rất có thể chúng ta sẽ bị phân tâm khi lo lắng về những vấn đề này.	en: Surrounded by such concerns , it is very likely that we are distracted to worry about these problems .
source: en: It is a concern that will be with us during our whole life , because we will never know when the ''potential bomb' ' will explode . second: Đó là một mối quan tâm sẽ luôn ở bên chúng ta trong suốt cuộc đời, bởi vì chúng ta sẽ không bao giờ biết khi nào '' quả bom tiềm năng '' sẽ phát nổ.	en: It is a concern that will be with us during our whole life , because we will never know when the ''potential bomb' ' will explode .
source: en: On the other hand , if there are ways can help us to control or cure the disease , we can going through thses process from the scope of the whole family . second: Mặt khác, nếu có cách nào đó có thể giúp chúng ta kiểm soát hoặc chữa khỏi bệnh, chúng ta có thể trải qua quá trình này trong phạm vi của cả gia đình.	en: On the other hand , if there are ways can help us to control or cure the disease , we can going through thses process from the scope of the whole family .
source: en: For an example , if exercising is helpful for family potential disease , we can always look for more chances for the family to go exercise . second: Ví dụ, nếu tập thể dục có lợi cho gia đình, chúng ta luôn có thể tìm kiếm cơ hội để gia đình tập thể dục.	en: For an example , if exercising is helpful for family potential disease , we can always look for more chances for the family to go exercise .
source: en: And we keep track of all family members health conditions . second: Và chúng tôi theo dõi tình trạng sức khoẻ của tất cả người nhà.	en: And we keep track of all family members health conditions .
source: en: At the same time , we are prepared to know when there are other members got this disease . second: Đồng thời, chúng ta cũng chuẩn bị để biết khi nào thì các thành viên khác mắc bệnh này.	en: At the same time , we are prepared to know when there are other members got this disease .
source: en: Here I want to share Forest'view on this issue . second: Ở đây tôi muốn chia sẻ quan điểm của Forest về vấn đề này.	en: Here I want to share Forest'view on this issue .
source: en: Although some people feel that an individual who is found to carry a dominant gene for Huntington 's disease has an ethical obligation to disclose that fact to his or her siblings , there currently is no legal requirement to do so . second: Mặc dù một số người cảm thấy rằng một cá nhân được phát hiện mang gen trội gây bệnh Huntington có nghĩa vụ đạo đức phải tiết lộ thực tế đó cho anh chị em của mình, nhưng hiện tại không có yêu cầu pháp lý nào để làm như vậy.	en: Although some people feel that an individual who is found to carry a dominant gene for Huntington 's disease has an ethical obligation to disclose that fact to his or her siblings , there currently is no legal requirement to do so .
source: en: In fact , requiring someone to communicate his or her own genetic risk to family members who are therefore also at risk is considered by many to be ethically dubious . second: Trên thực tế, việc yêu cầu một người nào đó phải thông báo nguy cơ di truyền của chính mình cho các thành viên trong gia đình, những người do đó cũng có nguy cơ bị nhiễm bệnh, được nhiều người coi là đáng ngờ về mặt đạo đức.	en: In fact , requiring someone to communicate his or her own genetic risk to family members who are therefore also at risk is considered by many to be ethically dubious .
source: en: " second: "	en: "
source: en: Nothing is absolute right or wrong . second: Không có gì là đúng hay sai hoàn toàn.	en: Nothing is absolute right or wrong .
source: en: If certain disease genetic test is very accurate and it is unavoidable and necessary to get treatment and known by others , it is OK to disclose the result . second: Nếu xét nghiệm di truyền bệnh nào đó rất chính xác và không thể tránh khỏi, cần phải điều trị và được người khác biết đến thì việc công bố kết quả là điều bình thường.	en: If certain disease genetic test is very accurate and it is unavoidable and necessary to get treatment and known by others , it is OK to disclose the result .
source: en: Above all , life is more important than secret . second: Trên hết, cuộc sống quan trọng hơn bí mật.	en: Above all , life is more important than secret .
source: en: Genetic risk does carry its consequences and should not be taken lightly within the family circle . second: Nguy cơ di truyền cũng mang lại hậu quả và không nên xem nhẹ trong phạm vi gia đình.	en: Genetic risk does carry its consequences and should not be taken lightly within the family circle .
source: en: Afterall , what affects one family may or may not affect another although the families has a common genetic make up , shared by either of the parents . second: Dù sao thì, những gì ảnh hưởng đến một gia đình có thể hoặc không ảnh hưởng đến một gia đình khác mặc dù các gia đình có một cấu tạo di truyền chung, được chia sẻ bởi một trong hai cha mẹ.	en: Afterall , what affects one family may or may not affect another although the families has a common genetic make up , shared by either of the parents .
source: en: In cases where an individual has gotten to know of a genetic disorder , disclosing or otherwise , to his or her relative is solely a matter of preference within the indivdial moral system . second: Trong trường hợp một cá nhân đã biết về một rối loạn di truyền, tiết lộ hay nói cách khác, cho người thân của mình chỉ là vấn đề ưu tiên trong hệ thống đạo đức đơn lẻ.	en: In cases where an individual has gotten to know of a genetic disorder , disclosing or otherwise , to his or her relative is solely a matter of preference within the indivdial moral system .
source: en: The issue on right to know or not to know is highly debatable although it is a genetic risk , one can not be entire sure because the genetic information could possibly result from the families of either parents - his maternal and paternal uncles , aunts or cousin . second: Vấn đề đúng hay sai để biết là rất gây tranh cãi mặc dù đó là một nguy cơ di truyền. người ta không thể hoàn toàn chắc chắn bởi vì thông tin di truyền có thể có thể là kết quả từ gia đình của cha mẹ - chú bác của anh ta, cô dì hoặc anh em họ.	en: The issue on right to know or not to know is highly debatable although it is a genetic risk , one can not be entire sure because the genetic information could possibly result from the families of either parents - his maternal and paternal uncles , aunts or cousin .
source: en: This also means that as soon a person is made aware of his or her genetic profile , he or she concurently has a knowledge about others . second: Điều này cũng có nghĩa là ngay khi một người nhận thức được hồ sơ di truyền của mình, họ sẽ có kiến thức về những người khác.	en: This also means that as soon a person is made aware of his or her genetic profile , he or she concurently has a knowledge about others .
source: en: This knowledge maybe relavant to them , and vice versa . second: Kiến thức này có thể liên quan đến họ, và ngược lại.	en: This knowledge maybe relavant to them , and vice versa .
source: en: An example that may serve as an illustration is breast cancer . second: Ung thư vú là một ví dụ minh hoạ.	en: An example that may serve as an illustration is breast cancer .
source: en: It is hereditary . second: Nó là di truyền.	en: It is hereditary .
source: en: Do one who suffered from this disease keep it a secret of infrom their relatives ? second: Có ai mắc bệnh này giữ bí mật về người thân của họ không?	en: Do one who suffered from this disease keep it a secret of infrom their relatives ?
source: en: In retrospect , its is also ones duty to ensure that he or she undergo periodic healthchecks in their own . second: Nhìn lại, đó cũng là nhiệm vụ của những người đảm bảo rằng họ phải trải qua kiểm tra sức khoẻ định kỳ.	en: In retrospect , its is also ones duty to ensure that he or she undergo periodic healthchecks in their own .
source: en: Sometimes some family structure and cultural beliefs can influence the pattern of communication . second: Đôi khi, một số cấu trúc gia đình và tín ngưỡng văn hoá có thể ảnh hưởng đến cách thức giao tiếp.	en: Sometimes some family structure and cultural beliefs can influence the pattern of communication .
source: en: Depending on whom the genetic risk was discovered from : the son or daughter for example , the parents who knows about this would decide who gets told and whom takes the precedence in being 'allowed ' to tell . second: Tùy thuộc vào người nào phát hiện ra nguy cơ di truyền: ví dụ như con trai hay con gái, cha mẹ biết về điều này sẽ quyết định ai được kể và ai được ưu tiên khi được " cho phép " kể.	en: Depending on whom the genetic risk was discovered from : the son or daughter for example , the parents who knows about this would decide who gets told and whom takes the precedence in being 'allowed ' to tell .
source: en: For example , within a family , regardless of who had first received genetic information , parents were seen as having the primary responsibility to pass on information to any offspring , either adult at risk . second: Ví dụ, trong một gia đình, bất kể ai là người đầu tiên nhận được thông tin di truyền, cha mẹ được coi là có trách nhiệm chính là truyền thông tin cho bất kỳ đứa con nào, kể cả người trưởng thành có nguy cơ.	en: For example , within a family , regardless of who had first received genetic information , parents were seen as having the primary responsibility to pass on information to any offspring , either adult at risk .
source: en: In addition , a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself , although this may be further complicated by an individual 's response to risk information as they not want to know . second: Ngoài ra, một phụ nữ có kết quả xét nghiệm dương tính với BRCA1 sẽ cho phép anh chị em của mình tiết lộ thông tin đó cho cháu gái hoặc cháu trai thay vì tự làm điều đó.	en: In addition , a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself , although this may be further complicated by an individual 's response to risk information as they not want to know .
source: en: Hence , there were also tensions if participants felt that they could neither pass on information to relatives who needed to know ( such as nieces and nephews ) nor persuade those with authority ( the parents ) to do so . second: Do đó, cũng có những căng thẳng nếu những người tham gia cảm thấy rằng họ không thể truyền thông tin cho những người thân cần biết (như cháu trai và cháu gái) cũng như thuyết phục những người có thẩm quyền (cha mẹ) làm như vậy.	en: Hence , there were also tensions if participants felt that they could neither pass on information to relatives who needed to know ( such as nieces and nephews ) nor persuade those with authority ( the parents ) to do so .
source: en: The notion of authority also extended 'vertically' . second: Khái niệm về quyền lực cũng được mở rộng 'theo chiều dọc'.	en: The notion of authority also extended 'vertically' .
source: en: For example , a grandmother may have more authority to pass on information than an aunt , even when she is not at genetic risk herself while the aunt is . second: Ví dụ, người bà có thể có nhiều quyền truyền đạt thông tin hơn người dì, ngay cả khi bản thân bà không gặp rủi ro di truyền trong khi người dì thì có.	en: For example , a grandmother may have more authority to pass on information than an aunt , even when she is not at genetic risk herself while the aunt is .
source: en: From a practitioner 's perspective these findings are important because if lay constructs of the family and kinship are a social construct they may not be in line with geneticists ' views of family relationships , or about which blood ( or non-blood ) relatives should be informed and by whom ; this is also likely to be dependent on the cultural and ethnic context . second: Từ quan điểm của một người thực hành, những phát hiện này rất quan trọng bởi vì nếu cấu trúc của gia đình và quan hệ họ hàng là một cấu trúc xã hội, chúng có thể không phù hợp với quan điểm của các nhà di truyền học về các mối quan hệ gia đình, hoặc về người thân có máu (hoặc không có máu) nên được thông báo và bởi ai; điều này cũng có thể phụ thuộc vào bối cảnh văn hóa và dân tộc.	en: From a practitioner 's perspective these findings are important because if lay constructs of the family and kinship are a social construct they may not be in line with geneticists ' views of family relationships , or about which blood ( or non-blood ) relatives should be informed and by whom ; this is also likely to be dependent on the cultural and ethnic context .
source: en: Ultimately , one must bring attention to who may benefit from such information and assisting those at risk to make considered decisions about disclosure . second: Cuối cùng, chúng ta phải chú ý đến những người có thể hưởng lợi từ những thông tin đó và hỗ trợ những người có nguy cơ đưa ra các quyết định được xem xét về việc tiết lộ thông tin.	en: Ultimately , one must bring attention to who may benefit from such information and assisting those at risk to make considered decisions about disclosure .
source: en: Whose duty it is to inform at risk relatives or not greatly depends on the personal moral and the nature of how 'directive ' the risk is to them . second: Trách nhiệm của ai là thông báo cho người thân gặp nguy hiểm hay không phụ thuộc rất nhiều vào đạo đức cá nhân và bản chất của việc rủi ro " định hướng " cho họ như thế nào.	en: Whose duty it is to inform at risk relatives or not greatly depends on the personal moral and the nature of how 'directive ' the risk is to them .
source: en: People with close blood relationship generally carry some similar genes . second: Những người có quan hệ huyết thống gần gũi thường mang một số gen tương tự.	en: People with close blood relationship generally carry some similar genes .
